video_id,video_title,stream_date,video_url,published_at,duration_seconds,view_count,like_count,comment_sample_count,is_singing_stream,is_member_only,is_upcoming,status,entry_count,song_count,category_count,selected_comment_id,selected_comment_author,selected_comment_is_pinned,selected_comment_timestamp_count,issue,scraped_at
eNyMxkJ-pyc,【歌回】耳熟能詳的經典電影主題曲🌸【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-01-28,https://www.youtube.com/watch?v=eNyMxkJ-pyc,2026-01-28T10:06:44-08:00,14001,1022,163,6,true,false,false,ok,14,7,7,UgzZgsqbQKDv9N-9T2R4AaABAg,@MOMO-no3rc,true,14,,2026-05-27T04:50:28.595Z
LitVZq3JB0E,【新衣裝發布】一起來見證我最重要的時刻💗【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-01-25,https://www.youtube.com/watch?v=LitVZq3JB0E,2026-01-25T10:07:11-08:00,8605,1292,195,4,true,false,false,ok,30,4,26,UgxFjrcG7hugTwPCYHN4AaABAg,@MOMO-no3rc,true,30,,2026-05-27T04:50:28.595Z
P7APYV2fKPo,【歌回】花朵歌回🌸花開的時候，我們一起聽歌🌹【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-01-21,https://www.youtube.com/watch?v=P7APYV2fKPo,2026-01-21T09:42:08-08:00,12530,439,126,2,true,false,false,ok,12,8,4,Ugzxv55T_XBVOyxlmCp4AaABAg,@MOMO-no3rc,false,12,,2026-05-27T04:50:28.595Z
s0Bm2ylv35c,【歌回】週末深夜歌回🌸睡不著就進來聊聊&聽歌吧！希望能治癒你的疲憊～❤️【伴睡歌回 125｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-01-18,https://www.youtube.com/watch?v=s0Bm2ylv35c,2026-01-18T09:43:37-08:00,9012,659,122,2,true,false,false,ok,10,7,3,Ugw8DxyAOJSXvbEBst94AaABAg,@MOMO-no3rc,false,10,,2026-05-27T04:50:28.595Z
qtRzIHMeT4U,【歌回】越唱越不對勁的歌回…你會聽出來嗎？🌸【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-01-14,https://www.youtube.com/watch?v=qtRzIHMeT4U,2026-01-14T09:44:59-08:00,12666,751,122,1,true,false,false,ok,12,8,4,UgwolVrkbqZOV6-7lqd4AaABAg,@MOMO-no3rc,true,12,,2026-05-27T04:50:28.595Z
z1zN7aONeUA,【歌回】週末深夜歌回🌸冷冷的夜，陪你一起進入夢鄉！【伴睡歌回 124｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-01-11,https://www.youtube.com/watch?v=z1zN7aONeUA,2026-01-11T09:43:37-08:00,9064,605,120,4,true,false,false,ok,10,6,4,UgyPNr3DnMynrPLe4ft4AaABAg,@MOMO-no3rc,true,10,,2026-05-27T04:50:28.595Z
f6Z4W-cz18U,【歌回】阿痣歌回🌸痣氣高昂～有痣者事竟成！【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-01-07,https://www.youtube.com/watch?v=f6Z4W-cz18U,2026-01-07T09:44:37-08:00,12599,602,113,2,true,false,false,ok,16,12,4,Ugwq92IBmUA4dremY1J4AaABAg,@MOMO-no3rc,true,16,,2026-05-27T04:50:28.595Z
6FCzi-Xbr2g,【歌回】週末深夜歌回🌸用充滿暖意的歌聲 陪你入睡~❤️【伴睡歌回 123｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-01-04,https://www.youtube.com/watch?v=6FCzi-Xbr2g,2026-01-04T09:34:32-08:00,8561,510,104,2,true,false,false,ok,11,7,4,UgzmXYsZ9jM5AmYR_gF4AaABAg,@MOMO-no3rc,true,11,,2026-05-27T04:50:28.595Z
Kv4jgpPDai8,【歌回】跨年歌回🔔陪你一起快快樂樂的跨年🌸初見歡迎~【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2025-12-31,https://www.youtube.com/watch?v=Kv4jgpPDai8,2025-12-31T09:41:08-08:00,12355,497,123,2,true,false,false,ok,13,10,3,UgyoOLlA1rrq_SAPjUJ4AaABAg,@MOMO-no3rc,true,13,,2026-05-27T04:50:28.595Z
QmVsFzteOrU,【歌回】週末深夜歌回🌸今年最後一個周末 也要陪你們度過❤️【伴睡歌回 123｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2025-12-28,https://www.youtube.com/watch?v=QmVsFzteOrU,2025-12-28T09:35:49-08:00,8704,570,131,2,true,false,false,ok,11,6,5,UgwU2vZUS0izOLYBq714AaABAg,@MOMO-no3rc,true,11,,2026-05-27T04:50:28.595Z
